account_id|campaign_id|creative_id|impressions_id|date|sum|count|mean
80473768580440818|320|33548|78737666|2017-04-01|40727.0|5|8145.4
80473768580440818|320|33548|79840654|2017-04-01|81713.0|5|16342.6
83734232844099772|320|33548|51691903|2017-04-01|34275.0|5|6855.0
86437518466720371|320|33548|53138663|2017-04-02|75213.0|5|15042.6
87953370208953365|320|33548|710591779261|2017-04-01|44578.0|4|11144.5
90006774107434624|320|33548|11970853|2017-04-01|45618.0|5|9123.6
90159675028332125|320|33548|48639821|2017-04-02|38683.0|5|7736.6
90159675028332125|320|33548|253980432581|2017-04-01|73973.0|5|14794.6
91028881159132938|320|33548|4896292|2017-04-02|37532.0|5|7506.4
91028881159132938|320|33548|11138941|2017-04-02|37242.0|5|7448.4
91028881159132938|320|33548|32310522|2017-04-01|37366.0|5|7473.2
91028881159132938|320|33548|52934684|2017-04-01|75157.0|5|15031.4
91028881159132938|320|33548|74885937|2017-04-01|74926.0|5|14985.2
93153610775073953|320|33548|2763366|2017-04-02|25364.0|5|5072.8
93153610775073953|320|33548|33889254|2017-04-02|38203.0|5|7640.6
93153610775073953|320|33548|48385040|2017-04-02|77390.0|5|15478.0
93153610775073953|320|33548|82933082|2017-04-02|75256.0|5|15051.2
93342737812148922|320|33548|3330136|2017-04-02|68.0|1|68.0
94171144169035911|320|33548|24238032|2017-04-01|75420.0|5|15084.0
94171144169035911|320|33548|63281171|2017-04-01|60367.0|5|12073.4
96470205777477442|320|33548|76213710|2017-04-02|77968.0|5|15593.6
96470205777477442|320|33548|96407859|2017-04-01|39453.0|5|7890.6
97201387585823001|320|33548|45364605|2017-04-02|39178.0|5|7835.6
99267138810489314|320|33548|37287717|2017-04-01|39389.0|5|7877.8
99531271520432301|320|33548|61159584|2017-04-02|80231.0|5|16046.2
99531271520432301|320|33548|97476319|2017-04-01|88.0|1|88.0
99594478667923114|320|33548|10398600|2017-04-01|76295.0|5|15259.0
99594478667923114|320|33548|57700252|2017-04-02|158.0|1|158.0
99594478667923114|320|33548|68217205|2017-04-02|90.0|1|90.0
99594478667923114|320|33548|70597132|2017-04-01|89.0|1|89.0
99709996672766368|320|33548|7805130|2017-04-01|79150.0|5|15830.0
99709996672766368|320|33548|87045054|2017-04-02|83334.0|5|16666.8
101862443935198686|320|33548|35202607|2017-04-01|47607.0|5|9521.4
101862443935198686|320|33548|37516466|2017-04-01|40442.0|5|8088.4
101984290080382421|320|33548|33762728|2017-04-01|38513.0|5|7702.6
101984290080382421|320|33548|49573208|2017-04-01|44064.0|5|8812.8
101984290080382421|320|33548|52377388|2017-04-02|75893.0|5|15178.6
105993859949643807|320|33548|74310201|2017-04-02|47891.0|5|9578.2
105993859949643807|320|33548|87046297|2017-04-02|84996.0|5|16999.2
106088353024276181|320|33548|98505951|2017-04-01|0.0|5|0.0
107213912632651406|320|33548|71645123|2017-04-01|61368.0|5|12273.6
107769059947236770|320|33548|41730823|2017-04-01|75439.0|5|15087.8
107769059947236770|320|33548|56618304|2017-04-01|38149.0|5|7629.8
107769059947236770|320|33548|74471687|2017-04-01|7907.0|2|3953.5
109919337145919094|320|33548|15779288|2017-04-01|76004.0|5|15200.8
111951009662775690|320|33548|55488633|2017-04-01|37525.0|5|7505.0
112121203201500472|320|33548|365869110270|2017-04-01|75876.0|5|15175.2
112233166540861211|320|33548|40358801|2017-04-01|68685.0|5|13737.0
112842665334856272|320|33548|360415995858|2017-04-01|77290.0|5|15458.0
113519637038580659|320|33548|21786470|2017-04-01|75902.0|5|15180.4
114792234285469992|320|33548|94712080|2017-04-01|0.0|1|0.0
115538757676187091|320|33548|29978385|2017-04-02|76172.0|5|15234.4
115538757676187091|320|33548|47299081|2017-04-01|41215.0|5|8243.0
115538757676187091|320|33548|67702456|2017-04-01|75719.0|5|15143.8
115538757676187091|320|33548|78607604|2017-04-01|76008.0|5|15201.6
115538757676187091|320|33548|84259019|2017-04-01|38739.0|5|7747.8
115688042813452571|320|33548|80237690|2017-04-01|80547.0|5|16109.4
115688042813452571|320|33548|97471538|2017-04-01|80135.0|5|16027.0
117685331588502935|320|33548|52494305|2017-04-02|38059.0|5|7611.8
117685331588502935|320|33548|55519926|2017-04-02|75875.0|5|15175.0
118008472641221708|320|33548|98759235|2017-04-01|42711.0|5|8542.2
118102634223877356|320|33548|69027645|2017-04-01|75909.0|5|15181.8
119402824257412824|320|33548|32538667|2017-04-02|75950.0|5|15190.0
119402824257412824|320|33548|41847245|2017-04-01|76239.0|5|15247.8
119402824257412824|320|33548|47919628|2017-04-02|36386.0|5|7277.2
120286410327054824|320|33548|8427943|2017-04-01|64088.0|5|12817.6
120286410327054824|320|33548|29429281|2017-04-02|35463.0|3|11821.0
123252963702621883|320|33548|9222652|2017-04-02|38628.0|5|7725.6
124755233080117797|320|33548|28032375|2017-04-02|75300.0|5|15060.0
124755233080117797|320|33548|55408129|2017-04-02|79583.0|5|15916.6
124755233080117797|320|33548|99270854|2017-04-02|78145.0|5|15629.0
130128923450668911|320|33548|59704200|2017-04-01|36580.0|5|7316.0
130347804069665784|320|33548|56438684|2017-04-01|76276.0|5|15255.2
130347804069665784|320|33548|94279995|2017-04-01|76082.0|5|15216.4
130823037794791976|320|33548|71484474|2017-04-01|42161.0|5|8432.2
131048453938948713|320|33548|86158035|2017-04-02|75000.0|5|15000.0
131696942306208221|320|33548|8502049|2017-04-01|37669.0|5|7533.8
131696942306208221|320|33548|13772740|2017-04-01|79018.0|5|15803.6
132017287641844148|320|33548|50359703|2017-04-01|0.0|5|0.0
